dariusgu;Darius Gaiden - Silver Hawk (Ver 2.5A 1994/09/19);MAME (Mame4all);dariusg;1994;Taito America Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusgx;Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack);Arcade;dariusg;1994;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusgx;Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack);MAME (Advance);dariusg;1994;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusgx;Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack);MAME (Libretro);dariusg;1994;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusgx;Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack);MAME (Mame4all);dariusg;1994;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusj;Darius (Japan);Final Burn Alpha;darius;1986;Taito Corporation;;;;;;0;;;;;
dariusj;Darius (Japan, rev 1);Arcade;darius;1986;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusj;Darius (Japan, rev 1);MAME (Advance);darius;1986;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusj;Darius (Japan, rev 1);MAME (Libretro);darius;1986;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusj;Darius (Japan, rev 1);MAME (Mame4all);darius;1986;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariuso;Darius (Japan old version);Final Burn Alpha;darius;1986;Taito Corporation;;;;;;0;;;;;
dariuso;Darius (Japan);Arcade;darius;1986;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariuso;Darius (Japan);MAME (Advance);darius;1986;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariuso;Darius (Japan);MAME (Libretro);darius;1986;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariuso;Darius (Japan);MAME (Mame4all);darius;1986;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusp;Darius Plus;Final Burn Alpha;;1990;NEC Avenue;;;;;;0;;;;;
dariusu;Darius (US, rev 2);Arcade;darius;1986;Taito America Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusu;Darius (US, rev 2);MAME (Advance);darius;1986;Taito America Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusu;Darius (US, rev 2);MAME (Libretro);darius;1986;Taito America Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
dariusu;Darius (US, rev 2);MAME (Mame4all);darius;1986;Taito America Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
gdarius2;G-Darius Ver.2 (Ver 2.03J);Arcade;;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdarius2;G-Darius Ver.2 (Ver 2.03J);MAME (Advance);;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdarius2;G-Darius Ver.2 (Ver 2.03J);MAME (Libretro);;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdarius2;G-Darius Ver.2 (Ver 2.03J);MAME (Mame4all);;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdarius;G-Darius (Ver 2.01J);Arcade;gdarius2;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdarius;G-Darius (Ver 2.01J);MAME (Advance);gdarius2;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdarius;G-Darius (Ver 2.01J);MAME (Libretro);gdarius2;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdarius;G-Darius (Ver 2.01J);MAME (Mame4all);gdarius2;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdariusb;G-Darius (Ver 2.02A);Arcade;gdarius2;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdariusb;G-Darius (Ver 2.02A);MAME (Advance);gdarius2;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
gdariusb;G-Darius (Ver 2.02A);MAME (Libretro);gdarius2;1997;Taito;Shooter / Flying Horizontal;;;;;0;;;;;
