goldnaxe3;Golden Axe (set 3, World, FD1094 317-0120);MAME (Libretro);goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxe3;Golden Axe (set 3, World, FD1094 317-0120);MAME (Mame4all);goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxe;Golden Axe (set 6, US, 8751 317-123A);Arcade;;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxe;Golden Axe (set 6, US, 8751 317-123A);Final Burn Alpha;;1989;Sega;;;;;;0;;;;;
goldnaxe;Golden Axe (set 6, US, 8751 317-123A);MAME (Advance);;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxe;Golden Axe (set 6, US, 8751 317-123A);MAME (Libretro);;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxe;Golden Axe (set 6, US, 8751 317-123A);MAME (Mame4all);;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxej;Golden Axe (set 4, Japan, FD1094 317-0121);Arcade;goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxej;Golden Axe (set 4, Japan, FD1094 317-0121);Final Burn Alpha;goldnaxe;1989;Sega;;;;;;0;;;;;
goldnaxej;Golden Axe (set 4, Japan, FD1094 317-0121);MAME (Advance);goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxej;Golden Axe (set 4, Japan, FD1094 317-0121);MAME (Libretro);goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxej;Golden Axe (set 4, Japan, FD1094 317-0121);MAME (Mame4all);goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxeu;Golden Axe (set 5, US, FD1094 317-0122);Arcade;goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxeu;Golden Axe (set 5, US, FD1094 317-0122);Final Burn Alpha;goldnaxe;1989;Sega;;;;;;0;;;;;
goldnaxeu;Golden Axe (set 5, US, FD1094 317-0122);MAME (Advance);goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxeu;Golden Axe (set 5, US, FD1094 317-0122);MAME (Libretro);goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
goldnaxeu;Golden Axe (set 5, US, FD1094 317-0122);MAME (Mame4all);goldnaxe;1989;Sega;Fighter / 2.5D;;;;;0;;;;;
mp_gaxe2a;Golden Axe II (Mega Play);Arcade;mp_gaxe2;1993;Sega;Fighter / 2.5D;;;;;0;;;;;
mp_gaxe2a;Golden Axe II (Mega Play);MAME (Advance);mp_gaxe2;1993;Sega;Fighter / 2.5D;;;;;0;;;;;
mp_gaxe2a;Golden Axe II (Mega Play);MAME (Libretro);mp_gaxe2;1993;Sega;Fighter / 2.5D;;;;;0;;;;;
mp_gaxe2a;Golden Axe II (Mega Play);MAME (Mame4all);mp_gaxe2;1993;Sega;Fighter / 2.5D;;;;;0;;;;;
mp_gaxe2;Golden Axe II (Mega Play) (Rev B);Arcade;;1993;Sega;Fighter / 2.5D;;;;;0;;;;;
mp_gaxe2;Golden Axe II (Mega Play) (Rev B);MAME (Advance);;1993;Sega;Fighter / 2.5D;;;;;0;;;;;
mp_gaxe2;Golden Axe II (Mega Play) (Rev B);MAME (Libretro);;1993;Sega;Fighter / 2.5D;;;;;0;;;;;
mp_gaxe2;Golden Axe II (Mega Play) (Rev B);MAME (Mame4all);;1993;Sega;Fighter / 2.5D;;;;;0;;;;;
mt_gaxe2;Golden Axe II (Mega-Tech);Arcade;;1991;Sega;Beat-'Em-Up;;;;;0;;;;;
mt_gaxe2;Golden Axe II (Mega-Tech);MAME (Advance);;1991;Sega;Beat-'Em-Up;;;;;0;;;;;
mt_gaxe2;Golden Axe II (Mega-Tech);MAME (Libretro);;1991;Sega;Beat-'Em-Up;;;;;0;;;;;
mt_gaxe2;Golden Axe II (Mega-Tech);MAME (Mame4all);;1991;Sega;Beat-'Em-Up;;;;;0;;;;;
mt_gaxe;Golden Axe (Mega-Tech);Arcade;;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
mt_gaxe;Golden Axe (Mega-Tech);MAME (Advance);;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
mt_gaxe;Golden Axe (Mega-Tech);MAME (Libretro);;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
mt_gaxe;Golden Axe (Mega-Tech);MAME (Mame4all);;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
