#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Turok 3 - Shadow of Oblivion (USA);Turok 3 - Shadow of Oblivion (USA);Nintendo 64;;2000;Acclaim;Shooter;;;;;0;;;;;
Twisted Edge - Extreme Snowboarding (USA);Twisted Edge - Extreme Snowboarding (USA);Nintendo 64;;1998;Midway;Snowboarding/Sports;;;;;0;;;;;
V-Rally Edition 99 (USA);V-Rally Edition 99 (USA);Nintendo 64;;1999;Infogrames;Driving;;;;;0;;;;;
Vigilante 8 (USA);Vigilante 8 (USA);Nintendo 64;;1998;Activision;Driving;;;;;0;;;;;
Vigilante 8 - 2nd Offense (USA);Vigilante 8 - 2nd Offense (USA);Nintendo 64;;2000;Activision;Driving;;;;;0;;;;;
Virtual Chess 64 (USA) (En,Fr,Es);Virtual Chess 64 (USA) (En,Fr,Es);Nintendo 64;;1998;Titus Software;Board Games;;;;;0;;;;;
Virtual Pool 64 (USA);Virtual Pool 64 (USA);Nintendo 64;;1998;Crave;Pool and Dart;;;;;0;;;;;
WCW Backstage Assault (USA);WCW Backstage Assault (USA);Nintendo 64;;2000;Electronic Arts;Sports/Wrestling;;;;;0;;;;;
WCW Mayhem (USA);WCW Mayhem (USA);Nintendo 64;;1999;EA Sports;Sports/Wrestling;;;;;0;;;;;
WCW Nitro (USA);WCW Nitro (USA);Nintendo 64;;1999;THQ;Sports/Wrestling;;;;;0;;;;;
WCW vs. nWo - World Tour (USA) (Rev A);WCW vs. nWo - World Tour (USA) (Rev A);Nintendo 64;;1997;THQ;Sports/Wrestling;;;;;0;;;;;
WCW-nWo Revenge (USA);WCW-nWo Revenge (USA);Nintendo 64;;1998;THQ;Sports/Wrestling;;;;;0;;;;;
WWF Attitude (USA);WWF Attitude (USA);Nintendo 64;;1999;Acclaim;Sports/Wrestling;;;;;0;;;;;
WWF No Mercy (USA) (Rev A);WWF No Mercy (USA) (Rev A);Nintendo 64;;2000;THQ;Sports/Wrestling;;;;;0;;;;;
WWF War Zone (USA);WWF War Zone (USA);Nintendo 64;;1998;Acclaim;Sports/Wrestling;;;;;0;;;;;
WWF WrestleMania 2000 (USA);WWF WrestleMania 2000 (USA);Nintendo 64;;1999;THQ;Sports/Wrestling;;;;;0;;;;;
Waialae Country Club - True Golf Classics (USA) (Rev A);Waialae Country Club - True Golf Classics (USA) (Rev A);Nintendo 64;;1998;Nintendo;Golf/Sports;;;;;0;;;;;
War Gods (USA);War Gods (USA);Nintendo 64;;1997;Midway;Fighter;;;;;0;;;;;
Wave Race 64 (USA) (Rev A);Wave Race 64 (USA) (Rev A);Nintendo 64;;1996;Nintendo;Water;;;;;0;;;;;
Wayne Gretzky's 3D Hockey '98 (USA);Wayne Gretzky's 3D Hockey '98 (USA);Nintendo 64;;1997;Midway;Hockey/Sports;;;;;0;;;;;
Wayne Gretzky's 3D Hockey (USA) (Rev A);Wayne Gretzky's 3D Hockey (USA) (Rev A);Nintendo 64;;1996;Midway;Hockey/Sports;;;;;0;;;;;
Wetrix (USA) (En,Fr,De,Es,It,Nl);Wetrix (USA) (En,Fr,De,Es,It,Nl);Nintendo 64;;1998;Ocean;Puzzle;;;;;0;;;;;
Wheel of Fortune (USA);Wheel of Fortune (USA);Nintendo 64;;1997;GameTek;Game Show;;;;;0;;;;;
WinBack - Covert Operations (USA);WinBack - Covert Operations (USA);Nintendo 64;;1999;Koei;Shooter;;;;;0;;;;;
Wipeout 64 (USA);Wipeout 64 (USA);Nintendo 64;;1998;Midway;Driving;;;;;0;;;;;
World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv,Da);World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv,Da);Nintendo 64;;1998;EA Sports;Soccer/Sports;;;;;0;;;;;
World Driver Championship (USA);World Driver Championship (USA);Nintendo 64;;1999;Midway;Driving;;;;;0;;;;;
Worms Armageddon (USA) (En,Fr,Es);Worms Armageddon (USA) (En,Fr,Es);Nintendo 64;;2000;Infogrames;Strategy;;;;;0;;;;;
Xena - Warrior Princess - The Talisman of Fate (USA);Xena - Warrior Princess - The Talisman of Fate (USA);Nintendo 64;;1999;Titus Software;Fighter;;;;;0;;;;;
Yoshi's Story (USA) (En,Ja);Yoshi's Story (USA) (En,Ja);Nintendo 64;;1998;Nintendo;Platform;;;;;0;;;;;
