#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
BASS Masters Classic - Pro Edition (USA);BASS Masters Classic - Pro Edition (USA);Super Nintendo Entertainment System;;1996;Black Pearl;Sports;;;;;0;;;;;
Ballz 3D - Fighting at Its Ballziest (USA);Ballz 3D - Fighting at Its Ballziest (USA);Super Nintendo Entertainment System;;1995;Accolade;Fighter;;;;;0;;;;;
Barbie Super Model (USA);Barbie Super Model (USA);Super Nintendo Entertainment System;;1993;Hi-Tech;Action;;;;;0;;;;;
Barbie Vacation Adventure (USA) (Proto);Barbie Vacation Adventure (USA) (Proto);Super Nintendo Entertainment System;;1994;Software Creations;Miscellaneous;;;;;0;;;;;
Barkley Shut Up and Jam! (USA);Barkley Shut Up and Jam! (USA);Super Nintendo Entertainment System;;1994;Accolade;Sports/Basketball;;;;;0;;;;;
Bassin's Black Bass (USA);Bassin's Black Bass (USA);Super Nintendo Entertainment System;;1994;Hot-B;Sports;;;;;0;;;;;
Batman - Revenge of the Joker (USA) (Proto);Batman - Revenge of the Joker (USA) (Proto);Super Nintendo Entertainment System;;1992;ICOM Simulations;Platform;;;;;0;;;;;
Batman Forever (USA);Batman Forever (USA);Super Nintendo Entertainment System;;1995;Acclaim;Fighter;;;;;0;;;;;
Batman Returns (USA);Batman Returns (USA);Super Nintendo Entertainment System;;1993;Konami;Fighter;;;;;0;;;;;
Battle Blaze (USA);Battle Blaze (USA);Super Nintendo Entertainment System;;1993;Sammy Studios;Fighter;;;;;0;;;;;
Battle Cars (USA);Battle Cars (USA);Super Nintendo Entertainment System;;1993;Namco;Action;;;;;0;;;;;
Battle Clash (USA);Battle Clash (USA);Super Nintendo Entertainment System;;1992;Nintendo;Shooter;;;;;0;;;;;
Battle Grand Prix (USA);Battle Grand Prix (USA);Super Nintendo Entertainment System;;1993;Hudson Soft;Driving;;;;;0;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon (USA);Super Nintendo Entertainment System;;1993;Tradewest;Platform;;;;;0;;;;;
Battletoads in Battlemaniacs (USA);Battletoads in Battlemaniacs (USA);Super Nintendo Entertainment System;;1993;Tradewest;Fighter;;;;;0;;;;;
Bazooka Blitzkrieg (USA);Bazooka Blitzkrieg (USA);Super Nintendo Entertainment System;;1992;Bandai;Shooter;;;;;0;;;;;
Beauty and the Beast (USA);Beauty and the Beast (USA);Super Nintendo Entertainment System;;1994;Hudson;Platform;;;;;0;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head (USA);Super Nintendo Entertainment System;;1994;Viacom New Media;Adventure;;;;;0;;;;;
Bebe's Kids (USA);Bebe's Kids (USA);Super Nintendo Entertainment System;;1994;Motown Games;Fighter;;;;;0;;;;;
Beethoven - The Ultimate Canine Caper! (USA);Beethoven - The Ultimate Canine Caper! (USA);Super Nintendo Entertainment System;;1993;Hi Tech Expressions;Platform;;;;;0;;;;;
Best of the Best - Championship Karate (USA);Best of the Best - Championship Karate (USA);Super Nintendo Entertainment System;;1992;Electro Brain;Sports;;;;;0;;;;;
Big Sky Trooper (USA);Big Sky Trooper (USA);Super Nintendo Entertainment System;;1995;JVC Musical Industries, Inc.;Action;;;;;0;;;;;
Biker Mice from Mars (USA);Biker Mice from Mars (USA);Super Nintendo Entertainment System;;1994;Konami;Driving;;;;;0;;;;;
Bill Laimbeer's Combat Basketball (USA);Bill Laimbeer's Combat Basketball (USA);Super Nintendo Entertainment System;;1991;Hudson Soft;Sports/Basketball;;;;;0;;;;;
Bill Walsh College Football (USA);Bill Walsh College Football (USA);Super Nintendo Entertainment System;;1994;EA Sports;Sports/Football;;;;;0;;;;;
BioMetal (USA);BioMetal (USA);Super Nintendo Entertainment System;;1993;Activision;Shooter;;;;;0;;;;;
