#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Choplifter III (USA, Europe);Choplifter III (USA, Europe);Sega Game Gear;;1995;Extreme Entertainment Group;Action;;;;;0;;;;;
Chuck Rock (World);Chuck Rock (World);Sega Game Gear;;1992;Sega;Platform;;;;;0;;;;;
Chuck Rock II - Son of Chuck (USA);Chuck Rock II - Son of Chuck (USA);Sega Game Gear;;1993;Virgin Games;Action;;;;;0;;;;;
Cliffhanger (USA, Europe);Cliffhanger (USA, Europe);Sega Game Gear;;1994;Sony Imagesoft;Action;;;;;0;;;;;
Clutch Hitter (USA);Clutch Hitter (USA);Sega Game Gear;;1991;Sega;Sports/Baseball;;;;;0;;;;;
Coca-Cola Kid (Japan) (Translated En);Coca-Cola Kid (Japan) (Translated En);Sega Game Gear;;1994;Aspect;Action;;;;;0;;;;;
Columns (USA, Europe);Columns (USA, Europe);Sega Game Gear;;1991;Sega;Puzzle;;;;;0;;;;;
Cool Spot (USA);Cool Spot (USA);Sega Game Gear;;1993;Virgin Interactive;Platform;;;;;0;;;;;
Cosmic Spacehead (USA);Cosmic Spacehead (USA);Sega Game Gear;;1996;Codemasters;Action;;;;;0;;;;;
Crayon Shin-chan - Taiketsu! Kantam Panic!! (Japan);Crayon Shin-chan - Taiketsu! Kantam Panic!! (Japan);Sega Game Gear;;1995;Minato Giken;Mini-Games;;;;;0;;;;;
Crazy Faces (USA) (Proto);Crazy Faces (USA) (Proto);Sega Game Gear;;1993;The Kremlin;Puzzle;;;;;0;;;;;
Crystal Warriors (USA, Europe);Crystal Warriors (USA, Europe);Sega Game Gear;;1991;Sega;Strategy;;;;;0;;;;;
Cutthroat Island (USA, Europe);Cutthroat Island (USA, Europe);Sega Game Gear;;1995;Acclaim;Action;;;;;0;;;;;
Daffy Duck in Hollywood (Europe);Daffy Duck in Hollywood (Europe);Sega Game Gear;;1994;Sega;Platform;;;;;0;;;;;
Deep Duck Trouble Starring Donald Duck (USA, Europe);Deep Duck Trouble Starring Donald Duck (USA, Europe);Sega Game Gear;;1993;Sega;Platform;;;;;0;;;;;
Defenders of Oasis (USA, Europe);Defenders of Oasis (USA, Europe);Sega Game Gear;;1992;Sega;Role-Playing;;;;;0;;;;;
Desert Speedtrap (USA);Desert Speedtrap (USA);Sega Game Gear;;1994;Sega;Action;;;;;0;;;;;
Desert Strike - Return to the Gulf (USA, Europe);Desert Strike - Return to the Gulf (USA, Europe);Sega Game Gear;;1994;Electronic Arts;Action;;;;;0;;;;;
Devilish (USA);Devilish (USA);Sega Game Gear;;1991;Sage's Creation;Action;;;;;0;;;;;
Donald no Magical World (Japan);Donald no Magical World (Japan);Sega Game Gear;;1994;Sega;Platform;;;;;0;;;;;
Doraemon - Noranosuke no Yabou (Japan);Doraemon - Noranosuke no Yabou (Japan);Sega Game Gear;;1993;Sega;Action;;;;;0;;;;;
Doraemon - Waku Waku Pocket Paradise (Japan);Doraemon - Waku Waku Pocket Paradise (Japan);Sega Game Gear;;1996;Sega;Mini-Games;;;;;0;;;;;
Double Dragon (USA, Europe);Double Dragon (USA, Europe);Sega Game Gear;;1993;Virgin Interactive;Beat-'Em-Up;;;;;0;;;;;
Dr. Robotnik's Mean Bean Machine (USA, Europe);Dr. Robotnik's Mean Bean Machine (USA, Europe);Sega Game Gear;;1993;Sega;Puzzle;;;;;0;;;;;
Dragon - The Bruce Lee Story (USA);Dragon - The Bruce Lee Story (USA);Sega Game Gear;;1993;Acclaim;Platform;;;;;0;;;;;
Dragon Crystal (USA, Europe);Dragon Crystal (USA, Europe);Sega Game Gear;;1990;Sega;Role-Playing;;;;;0;;;;;
Dropzone (Europe);Dropzone (Europe);Sega Game Gear;;1994;Codemasters;Shooter;;;;;0;;;;;
Dunk Kids (Japan);Dunk Kids (Japan);Sega Game Gear;;1994;Sega;Sports/Basketball;;;;;0;;;;;
Dynamite Headdy (USA, Europe);Dynamite Headdy (USA, Europe);Sega Game Gear;;1994;Sega;Action;;;;;0;;;;;
Earthworm Jim (USA);Earthworm Jim (USA);Sega Game Gear;;1995;Playmates;Platform;;;;;0;;;;;
Ecco II - The Tides of Time (USA, Europe);Ecco II - The Tides of Time (USA, Europe);Sega Game Gear;;1994;Sega;Action;;;;;0;;;;;
Ecco the Dolphin (USA, Europe);Ecco the Dolphin (USA, Europe);Sega Game Gear;;1994;Sega;Action;;;;;0;;;;;
Ernie Els Golf (Europe);Ernie Els Golf (Europe);Sega Game Gear;;1994;Codemasters;Sports/Golf;;;;;0;;;;;
Evander Holyfield Boxing (USA, Europe);Evander Holyfield Boxing (USA, Europe);Sega Game Gear;;1992;Sega;Sports/Boxing;;;;;0;;;;;
Excellent Dizzy Collection, The (Europe);Excellent Dizzy Collection, The (Europe);Sega Game Gear;;1993;Codemasters;Compilation;;;;;0;;;;;
F-15 Strike Eagle (USA, Europe);F-15 Strike Eagle (USA, Europe);Sega Game Gear;;1993;MicroProse;Flying;;;;;0;;;;;
F1 (USA, Europe);F1 (USA, Europe);Sega Game Gear;;1995;Domark;Driving;;;;;0;;;;;
F1 - World Championship Edition (Europe);F1 - World Championship Edition (Europe);Sega Game Gear;;1995;Domark;Driving;;;;;0;;;;;
FIFA International Soccer (USA, Europe);FIFA International Soccer (USA, Europe);Sega Game Gear;;1994;Electronic Arts;Sports/Soccer;;;;;0;;;;;
FIFA Soccer 96 (USA, Europe);FIFA Soccer 96 (USA, Europe);Sega Game Gear;;1995;EA Sports;Sports/Soccer;;;;;0;;;;;
Faceball 2000 (Japan);Faceball 2000 (Japan);Sega Game Gear;;1993;Xanth Software;Sports/Futuristic;;;;;0;;;;;
Factory Panic (Europe);Factory Panic (Europe);Sega Game Gear;;1991;Biox;Action;;;;;0;;;;;
Fantastic Dizzy (USA);Fantastic Dizzy (USA);Sega Game Gear;;1993;Codemasters;Action;;;;;0;;;;;
