#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Learning Fun I - Math Master Factor Fun (World);Learning Fun I - Math Master Factor Fun (World);Mattel Intellivision;;;;;;;;;;;;;;
Learning Fun II - Word Wizard Memory Fun (World);Learning Fun II - Word Wizard Memory Fun (World);Mattel Intellivision;;;;;;;;;;;;;;
Lock 'N' Chase (World);Lock 'N' Chase (World);Mattel Intellivision;;1982;Mattel Electronics;Stealth;;;;;;;;;;
Loco-Motion (World);Loco-Motion (World);Mattel Intellivision;;1983;Mattel Electronics;Puzzle;;;;;;;;;;
Magic Carousel (World);Magic Carousel (World);Mattel Intellivision;;2001;Intellivision Productions;Puzzle;1;;;;;;;;;
Major League Baseball (World);Major League Baseball (World);Mattel Intellivision;;1980;Mattel Electronics;Sports;2;;;;;;;;;
Masters of the Universe - The Power of He-Man! (World);Masters of the Universe - The Power of He-Man! (World);Mattel Intellivision;;1983;Mattel Electronics;Action;1;;;;;;;;;
Melody Blaster (World);Melody Blaster (World);Mattel Intellivision;;1983;Mattel Electronics;Music;1;;;;;;;;;
Meteor (World);Meteor (World);Mattel Intellivision;;;;;;;;;;;;;;
Microsurgeon (World);Microsurgeon (World);Mattel Intellivision;;1982;Imagic;Life Simulation / Shooter;;;;;;;;;;
Mind Strike! (World);Mind Strike! (World);Mattel Intellivision;;1983;Mattel Electronics;Strategy;;;;;;;;;;
Mine Hunter (World);Mine Hunter (World);Mattel Intellivision;;;;;;;;;;;;;;
Mission X (World);Mission X (World);Mattel Intellivision;;1983;Mattel Electronics;Shooter;1;;;;;;;;;
Moto-Cross (World);Moto-Cross (World);Mattel Intellivision;;;;;;;;;;;;;;
Mountain Madness - Super Pro Skiing (World);Mountain Madness - Super Pro Skiing (World);Mattel Intellivision;;1988;INTV Corporation;Sports;;;;;;;;;;
Mouse Trap (World);Mouse Trap (World);Mattel Intellivision;;1982;Coleco;Stealth;1;;;;;;;;;
Mr. Basic Meets Bits 'N Bytes (World);Mr. Basic Meets Bits 'N Bytes (World);Mattel Intellivision;;1983;Mattel Electronics;;;;;;;;;;;
NASL Soccer (World);NASL Soccer (World);Mattel Intellivision;;1980;Mattel Electronics;Sports;2;;;;;;;;;
NBA Basketball (World);NBA Basketball (World);Mattel Intellivision;;1980;Mattel Electronics;Sports;2;;;;;;;;;
NFL Football (World);NFL Football (World);Mattel Intellivision;;1980;Mattel Electronics;Sports;;;;;;;;;;
NHL Hockey (World);NHL Hockey (World);Mattel Intellivision;;1980;Mattel Electronics;Sports;2;;;;;;;;;
Night Stalker (World);Night Stalker (World);Mattel Intellivision;;1982;Mattel Electronics;Stealth;1;;;;;;;;;
Nova Blast (World);Nova Blast (World);Mattel Intellivision;;1983;Imagic;Shooter;1;;;;;;;;;
