#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2005 Minigame Multicart (USA) (Unl);2005 Minigame Multicart (USA) (Unl);Atari 2600;;2005;AtariAge - Zach Matley, Bob Montgomery, Fred Quimbey & Chris Walton;Mini-Games;;;;;0;;;;;
3-D Tic-Tac-Toe (USA);3-D Tic-Tac-Toe (USA);Atari 2600;;1980;Atari;Puzzle;;;;;0;;;;;
32 in 1 Game Cartridge (Europe);32 in 1 Game Cartridge (Europe);Atari 2600;;1988;Atari;Compilation;;;;;0;;;;;
A-Team, The (USA) (Proto);A-Team, The (USA) (Proto);Atari 2600;Saboteur (USA) (Proto);1984;Atari;Action;;;;;0;;;;;
A-VCS-tec Challenge (USA) (Unl);A-VCS-tec Challenge (USA) (Unl);Atari 2600;;2006;AtariAge - Simon Quernhorst & Paul Slocum;Action;;;;;0;;;;;
AStar (USA) (Unl);AStar (USA) (Unl);Atari 2600;;2006;AtariAge - Aaron Curtis;Action;;;;;0;;;;;
AVGN K.O. Boxing (USA) (Unl);AVGN K.O. Boxing (USA) (Unl);Atari 2600;;2009;Devin Cook - Cinemassacre.com;Sports/Boxing;;;;;0;;;;;
Acid Drop (Europe);Acid Drop (Europe);Atari 2600;;1992;Salu;Puzzle;;;;;0;;;;;
Actionauts (USA) (Proto);Actionauts (USA) (Proto);Atari 2600;;1984;Imagic;Action;;;;;0;;;;;
Activision Decathlon, The (USA);Activision Decathlon, The (USA);Atari 2600;;1983;Activision;Sports/Track & Field;;;;;0;;;;;
Adventure (USA);Adventure (USA);Atari 2600;;1980;Atari;Adventure;;;;;0;;;;;
Adventure 2 (USA);Adventure 2 (USA);Atari 2600;;2004;Curt Vendel;Adventure;;;;;0;;;;;
Adventures of TRON (USA);Adventures of TRON (USA);Atari 2600;;1982;M Network - INTV;Platform;;;;;0;;;;;
Air Raid (USA);Air Raid (USA);Atari 2600;Space Jockey (USA);1982;Men-A-Vision;Shoot-'Em-Up;;;;;0;;;;;
Air Raiders (USA);Air Raiders (USA);Atari 2600;;1982;M Network - INTV;Simulation;;;;;0;;;;;
Air-Sea Battle (USA);Air-Sea Battle (USA);Atari 2600;;1977;Atari;Shooter;;;;;0;;;;;
Airlock (USA);Airlock (USA);Atari 2600;;1982;Data Age;Platform;;;;;0;;;;;
Alfred Challenge (France) (Unl);Alfred Challenge (France) (Unl);Atari 2600;;1998;Ebivision;Platform;;;;;0;;;;;
Alien (USA);Alien (USA);Atari 2600;;1982;20th Century Fox Video Games;Maze;;;;;0;;;;;
Alien Greed (USA) (Unl);Alien Greed (USA) (Unl);Atari 2600;;2007;Neotokeo2001 & Atari2600land;Adventure;;;;;0;;;;;
Alien Greed 2 (USA) (Unl);Alien Greed 2 (USA) (Unl);Atari 2600;;2008;Neotokeo2001 & Atari2600land;Adventure;;;;;0;;;;;
Alien Greed 3 (USA) (Unl);Alien Greed 3 (USA) (Unl);Atari 2600;;2010;Neotokeo2001 & Atari2600land;Adventure;;;;;0;;;;;
Alien Greed 4 - Adventure (USA) (Unl);Alien Greed 4 - Adventure (USA) (Unl);Atari 2600;;123D4862;;Adventure;;;;;0;;;;;
Allia Quest (France) (Unl);Allia Quest (France) (Unl);Atari 2600;;2001;Ebivision;Shoot-'Em-Up;;;;;0;;;;;
Alligator People, The (USA) (Proto);Alligator People, The (USA) (Proto);Atari 2600;;1983;20th Century Fox Video Games;Action;;;;;0;;;;;
Alpha Beam with Ernie (USA);Alpha Beam with Ernie (USA);Atari 2600;;1983;Atari;Educational;;;;;0;;;;;
Amidar (USA);Amidar (USA);Atari 2600;;1982;Parker Brothers;Action;;;;;0;;;;;
Aquaventure (USA) (Proto);Aquaventure (USA) (Proto);Atari 2600;;1983;Atari;Shoot-'Em-Up;;;;;0;;;;;
Arcade Asteroids (USA) (Hack);Arcade Asteroids (USA) (Hack);Atari 2600;;2004;Curt Vendel;Shoot-'Em-Up;;;;;0;;;;;
Arcade Pong (USA);Arcade Pong (USA);Atari 2600;;2004;Curt Vendel;Action;;;;;0;;;;;
Armor Ambush (USA);Armor Ambush (USA);Atari 2600;;1982;M Network - INTV;Shooter;;;;;0;;;;;
Artillery Duel (USA);Artillery Duel (USA);Atari 2600;;1983;Xonox - K-Tel Software;Shooter;;;;;0;;;;;
Asterix (USA);Asterix (USA);Atari 2600;Taz (USA);1983;Atari;Action;;;;;0;;;;;
Asteroid Fire (Europe);Asteroid Fire (Europe);Atari 2600;;1983;Homevision - Gem International Corp.;Shoot-'Em-Up;;;;;0;;;;;
Asteroids (USA);Asteroids (USA);Atari 2600;;1981;Atari;Shooter;;;;;0;;;;;
Asteroids Deluxe (USA) (Hack);Asteroids Deluxe (USA) (Hack);Atari 2600;;2004;Curt Vendel;Shoot-'Em-Up;;;;;0;;;;;
Astroblast (USA);Astroblast (USA);Atari 2600;;1982;M Network - INTV;Shooter;;;;;0;;;;;
Astrowar (Europe);Astrowar (Europe);Atari 2600;;1983;Dimax - Sinmax;Shooter;;;;;0;;;;;
Atari Video Cube (USA);Atari Video Cube (USA);Atari 2600;;1982;Atari - GCC;Puzzle;;;;;0;;;;;
Atlantis (USA);Atlantis (USA);Atari 2600;;1982;Imagic;Shoot-'Em-Up;;;;;0;;;;;
Atlantis II (USA);Atlantis II (USA);Atari 2600;Atlantis (USA);1982;Imagic;Shoot-'Em-Up;;;;;0;;;;;
Atom Smasher (USA) (Proto);Atom Smasher (USA) (Proto);Atari 2600;;1983;Video Soft;Shooter;;;;;0;;;;;
BASIC Programming (USA);BASIC Programming (USA);Atari 2600;;1979;Atari;Educational;;;;;0;;;;;
BLiP Football (USA) (Unl);BLiP Football (USA) (Unl);Atari 2600;;2006;AtariAge - David Galloway, Bob & Tommy Montgomery;Sports/Football;;;;;0;;;;;
BMX Air Master (USA);BMX Air Master (USA);Atari 2600;;1989;TNT Games;Sports/Biking;;;;;0;;;;;
Bachelor Party (USA);Bachelor Party (USA);Atari 2600;;1982;Mystique - American Multiple Industries;Mature;;;;;0;;;;;
Bachelorette Party (USA);Bachelorette Party (USA);Atari 2600;Bachelor Party (USA);1982;PlayAround - J.H.M.;Mature;;;;;0;;;;;
Backfire (USA) (Unl);Backfire (USA) (Unl);Atari 2600;;2003;AtariAge - Chad Lare;Shooter;;;;;0;;;;;
Backgammon (USA);Backgammon (USA);Atari 2600;;1979;Atari;Board Games;;;;;0;;;;;
Bank Heist (USA);Bank Heist (USA);Atari 2600;;1983;20th Century Fox Video Games;Action;;;;;0;;;;;
Barnstorming (USA);Barnstorming (USA);Atari 2600;;1982;Activision;Action;;;;;0;;;;;
Base Attack (Europe);Base Attack (Europe);Atari 2600;;1983;Homevision - Gem International Corp.;Shooter;;;;;0;;;;;
Basic Math (USA);Basic Math (USA);Atari 2600;;1977;Atari;Educational;;;;;0;;;;;
Basketball (USA);Basketball (USA);Atari 2600;;1978;Atari;Sports/Basketball;;;;;0;;;;;
Battlezone (USA);Battlezone (USA);Atari 2600;;1983;Atari - GCC;Simulation;;;;;0;;;;;
Beamrider (USA);Beamrider (USA);Atari 2600;;1984;Activision - Cheshire Engineering;Shooter;;;;;0;;;;;
Beany Bopper (USA);Beany Bopper (USA);Atari 2600;;1982;20th Century Fox Video Games - Sirius Software;Shooter;;;;;0;;;;;
Beat 'Em & Eat 'Em (USA);Beat 'Em & Eat 'Em (USA);Atari 2600;;1982;Mystique - American Multiple Industries;Mature;;;;;0;;;;;
Bee-Ball (USA) (Unl);Bee-Ball (USA) (Unl);Atari 2600;;2007;AtariAge - Ivan Machado;Sports/Futuristic;;;;;0;;;;;
Berenstain Bears (USA);Berenstain Bears (USA);Atari 2600;;1983;Coleco;Action;;;;;0;;;;;
Bermuda Triangle (USA);Bermuda Triangle (USA);Atari 2600;;1982;Data Age;Shooter;;;;;0;;;;;
Berzerk (USA);Berzerk (USA);Atari 2600;;1982;Atari;Action;;;;;0;;;;;
Big Bird's Egg Catch (USA);Big Bird's Egg Catch (USA);Atari 2600;;1983;Atari;Action;;;;;0;;;;;
Bionic Breakthrough (USA) (Proto);Bionic Breakthrough (USA) (Proto);Atari 2600;;1984;Atari;Action;;;;;0;;;;;
Blackjack (USA);Blackjack (USA);Atari 2600;;1977;Atari;Casino;;;;;0;;;;;
Blinky Goes Up (USA) (Unl);Blinky Goes Up (USA) (Unl);Atari 2600;;2013;Jan Hermanns;Platform;;;;;0;;;;;
Bloody Human Freeway (USA) (Proto);Bloody Human Freeway (USA) (Proto);Atari 2600;Freeway (USA);1981;Activision;Action;;;;;0;;;;;
Blueprint (USA);Blueprint (USA);Atari 2600;;1983;CBS Electronics;Action;;;;;0;;;;;
Bobby Is Going Home (Europe);Bobby Is Going Home (Europe);Atari 2600;;1983;Bit Corporation;Platform;;;;;0;;;;;
Boggle (USA) (Proto);Boggle (USA) (Proto);Atari 2600;;1978;Atari;Board Games;;;;;0;;;;;
Boing! (USA);Boing! (USA);Atari 2600;;1983;First Star Software;Action;;;;;0;;;;;
Boulder Dash (USA) (Unl);Boulder Dash (USA) (Unl);Atari 2600;;2011;AtariAge - Andrew Davie & Thomas Jentzsch ;Action;;;;;0;;;;;
Bowling (USA);Bowling (USA);Atari 2600;;1978;Atari;Sports/Bowling;;;;;0;;;;;
Boxing (USA);Boxing (USA);Atari 2600;;1980;Activision;Sports/Boxing;;;;;0;;;;;
Brain Games (USA);Brain Games (USA);Atari 2600;;1978;Atari;Strategy;;;;;0;;;;;
Breakout (USA);Breakout (USA);Atari 2600;;1978;Atari;Breakout;;;;;0;;;;;
Bridge (USA);Bridge (USA);Atari 2600;;1980;Activision;Strategy;;;;;0;;;;;
Buck Rogers - Planet of Zoom (USA);Buck Rogers - Planet of Zoom (USA);Atari 2600;;1983;Sega;Shooter;;;;;0;;;;;
Bugs (USA);Bugs (USA);Atari 2600;;1982;Data Age;Shooter;;;;;0;;;;;
