#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Aironauts (Europe);Aironauts (Europe);Sony PlayStation;;1999;Red Storm Entertainment;Action;;;;;0;;;;;
Akuji the Heartless (USA);Akuji the Heartless (USA);Sony PlayStation;;1998;Eidos;Platform;;;;;0;;;;;
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Translated En);Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Translated En);Sony PlayStation;;1997;Konami;Platform;;;;;0;;;;;
Alex Ferguson's Player Manager 2001 (Europe);Alex Ferguson's Player Manager 2001 (Europe);Sony PlayStation;;2000;3DO;Sports/Soccer;;;;;0;;;;;
Alex Ferguson's Player Manager 2002 (Europe);Alex Ferguson's Player Manager 2002 (Europe);Sony PlayStation;;2002;Ubisoft;Sports/Soccer;;;;;0;;;;;
Alexi Lalas International Soccer (USA);Alexi Lalas International Soccer (USA);Sony PlayStation;;1999;Take-Two Interactive;Sports/Soccer;;;;;0;;;;;
Alfred Chicken (Europe);Alfred Chicken (Europe);Sony PlayStation;;2002;SCEE;Action;;;;;0;;;;;
Alien Resurrection (USA);Alien Resurrection (USA);Sony PlayStation;;2000;Fox Interactive;Shooter;;;;;0;;;;;
Alien Trilogy (USA);Alien Trilogy (USA);Sony PlayStation;;1996;Acclaim;Shooter;;;;;0;;;;;
All Star Action (Europe) (Disc 1);All Star Action (Europe) (Disc 1);Sony PlayStation;;2003;Phoenix Games;Miscellaneous;;;;;0;;;;;
All Star Action (Europe) (Disc 2);All Star Action (Europe) (Disc 2);Sony PlayStation;;2003;Phoenix Games;Miscellaneous;;;;;0;;;;;
All Star Racing (USA);All Star Racing (USA);Sony PlayStation;;2002;Mud Duck Productions;Driving;;;;;0;;;;;
All Star Racing 2 (USA);All Star Racing 2 (USA);Sony PlayStation;;2003;Mud Duck Productions;Driving;;;;;0;;;;;
All Star Soccer (Europe);All Star Soccer (Europe);Sony PlayStation;;1997;Eidos Interactive;Sports/Soccer;;;;;0;;;;;
All Star Watersports (Europe);All Star Watersports (Europe);Sony PlayStation;;2003;Phoenix Games;Sports/Surfing;;;;;0;;;;;
All-Star Baseball 97 Featuring Frank Thomas (USA);All-Star Baseball 97 Featuring Frank Thomas (USA);Sony PlayStation;;1997;Acclaim;Sports/Baseball;;;;;0;;;;;
All-Star Slammin' D-Ball (USA);All-Star Slammin' D-Ball (USA);Sony PlayStation;;2001;Agetec;Sports;;;;;0;;;;;
All-Star Tennis '99 (Europe);All-Star Tennis '99 (Europe);Sony PlayStation;;1998;Ubisoft;Sports/Tennis;;;;;0;;;;;
All-Star Tennis 2000 (Europe);All-Star Tennis 2000 (Europe);Sony PlayStation;;2000;Ubisoft;Sports/Tennis;;;;;0;;;;;
Allied General (USA);Allied General (USA);Sony PlayStation;;1996;SSI;Strategy;;;;;0;;;;;
Alone in the Dark - One-Eyed Jack's Revenge (USA);Alone in the Dark - One-Eyed Jack's Revenge (USA);Sony PlayStation;;1996;THQ;Adventure;;;;;0;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 1);Alone in the Dark - The New Nightmare (USA) (Disc 1);Sony PlayStation;;2001;Infogrames;Adventure;;;;;0;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 2);Alone in the Dark - The New Nightmare (USA) (Disc 2);Sony PlayStation;;2001;Infogrames;Adventure;;;;;0;;;;;
Alundra (USA);Alundra (USA);Sony PlayStation;;1997;Working Designs;Adventure;;;;;0;;;;;
Alundra 2 - A New Legend Begins (USA);Alundra 2 - A New Legend Begins (USA);Sony PlayStation;;2001;Activision;Role-Playing;;;;;0;;;;;
Amazing Virtual Sea-Monkeys, The (USA);Amazing Virtual Sea-Monkeys, The (USA);Sony PlayStation;;2002;SVG Distribution;Virtual Life;;;;;0;;;;;
American Pool (USA);American Pool (USA);Sony PlayStation;;2003;Mud Duck Productions;Sports/Pool and Dart;;;;;0;;;;;
Amerzone - The Explorer's Legacy (Europe) (Disc 1);Amerzone - The Explorer's Legacy (Europe) (Disc 1);Sony PlayStation;;1999;Microids;Adventure;;;;;0;;;;;
Amerzone - The Explorer's Legacy (Europe) (Disc 2);Amerzone - The Explorer's Legacy (Europe) (Disc 2);Sony PlayStation;;1999;Microids;Adventure;;;;;0;;;;;
Anastasia (Europe);Anastasia (Europe);Sony PlayStation;;2001;Midas Interactive Entertainment;Puzzle;;;;;0;;;;;
Andretti Racing (USA);Andretti Racing (USA);Sony PlayStation;;1996;EA Sports;Driving;;;;;0;;;;;
Animal Football (Europe);Animal Football (Europe);Sony PlayStation;;2003;Phoenix Games;Puzzle;;;;;0;;;;;
Animal Snap - Rescue Them 2 By 2 (Europe);Animal Snap - Rescue Them 2 By 2 (Europe);Sony PlayStation;;2003;Ignition Entertainment;Puzzle;;;;;0;;;;;
Animaniacs - Ten Pin Alley (USA);Animaniacs - Ten Pin Alley (USA);Sony PlayStation;;1998;ASC Games;Sports/Bowling;;;;;0;;;;;
Animorphs - Shattered Reality (USA);Animorphs - Shattered Reality (USA);Sony PlayStation;;2000;Infogrames;Action;;;;;0;;;;;
Anna Kournikova's Smash Court Tennis (Europe);Anna Kournikova's Smash Court Tennis (Europe);Sony PlayStation;;1999;Namco;Sports/Tennis;;;;;0;;;;;
Ape Escape (USA);Ape Escape (USA);Sony PlayStation;;1999;SCEA;Platform;;;;;0;;;;;
Apocalypse (USA);Apocalypse (USA);Sony PlayStation;;1998;Activision;Action;;;;;0;;;;;
Aqua GT (Europe);Aqua GT (Europe);Sony PlayStation;;2001;Take-Two Interactive;Driving;;;;;0;;;;;
Aquanaut's Holiday (USA);Aquanaut's Holiday (USA);Sony PlayStation;;1995;SCEA;Adventure;;;;;0;;;;;
Arc the Lad Collection - Arc Arena - Monster Tournament (USA);Arc the Lad Collection - Arc Arena - Monster Tournament (USA);Sony PlayStation;;2002;Working Designs;Casino;;;;;0;;;;;
Arc the Lad Collection - Arc the Lad (USA);Arc the Lad Collection - Arc the Lad (USA);Sony PlayStation;;2002;Working Designs;Strategy;;;;;0;;;;;
Arc the Lad Collection - Arc the Lad II (USA);Arc the Lad Collection - Arc the Lad II (USA);Sony PlayStation;;2002;Working Designs;Strategy;;;;;0;;;;;
Arc the Lad Collection - Arc the Lad III (USA) (Disc 1);Arc the Lad Collection - Arc the Lad III (USA) (Disc 1);Sony PlayStation;;2002;Working Designs;Strategy;;;;;0;;;;;
Arc the Lad Collection - Arc the Lad III (USA) (Disc 2);Arc the Lad Collection - Arc the Lad III (USA) (Disc 2);Sony PlayStation;;2002;Working Designs;Strategy;;;;;0;;;;;
Arcade Party Pak (USA);Arcade Party Pak (USA);Sony PlayStation;;1999;Midway;Miscellaneous;;;;;0;;;;;
Arcade's Greatest Hits - The Atari Collection 1 (USA);Arcade's Greatest Hits - The Atari Collection 1 (USA);Sony PlayStation;;1996;Midway;Miscellaneous;;;;;0;;;;;
Arcade's Greatest Hits - The Atari Collection 2 (USA);Arcade's Greatest Hits - The Atari Collection 2 (USA);Sony PlayStation;;1997;Midway;Miscellaneous;;;;;0;;;;;
Arcade's Greatest Hits - The Midway Collection 2 (USA);Arcade's Greatest Hits - The Midway Collection 2 (USA);Sony PlayStation;;1997;Midway;Miscellaneous;;;;;0;;;;;
Archer Maclean's 3D Pool (Europe);Archer Maclean's 3D Pool (Europe);Sony PlayStation;;2003;Ignition Entertainment;Sports/Pool and Dart;;;;;0;;;;;
Area 51 (USA);Area 51 (USA);Sony PlayStation;;1996;Midway;Gun;;;;;0;;;;;
