#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Castelo Ra-Tim-Bum (Brazil);Castelo Ra-Tim-Bum (Brazil);Sega Master System;;1997;Tec Toy;Platform;;;;;0;;;;;
Castle of Illusion Starring Mickey Mouse (USA);Castle of Illusion Starring Mickey Mouse (USA);Sega Master System;;1989;Sega;Platform;;;;;0;;;;;
Champions of Europe (Europe);Champions of Europe (Europe);Sega Master System;;1988;TecMagik;Sports/Soccer;;;;;0;;;;;
Championship Hockey (Europe);Championship Hockey (Europe);Sega Master System;;1992;U.S. Gold;Sports/Hockey;;;;;0;;;;;
Chapolim x Dracula - Um Duelo Assustador (Brazil);Chapolim x Dracula - Um Duelo Assustador (Brazil);Sega Master System;;1993;Tec Toy;Platform;;;;;0;;;;;
Cheese Cat-astrophe Starring Speedy Gonzales (Europe);Cheese Cat-astrophe Starring Speedy Gonzales (Europe);Sega Master System;;1995;Sega;Platform;;;;;0;;;;;
Choplifter (USA, Europe);Choplifter (USA, Europe);Sega Master System;;1986;Sega;Action;;;;;0;;;;;
Chuck Rock (Europe);Chuck Rock (Europe);Sega Master System;;1992;Virgin Interactive;Platform;;;;;0;;;;;
Chuck Rock II - Son of Chuck (Europe);Chuck Rock II - Son of Chuck (Europe);Sega Master System;;1993;Sega;Platform;;;;;0;;;;;
Cloud Master (USA, Europe);Cloud Master (USA, Europe);Sega Master System;;1989;Sega;Shooter;;;;;0;;;;;
Columns (USA, Europe);Columns (USA, Europe);Sega Master System;;1990;Sega;Puzzle;;;;;0;;;;;
Comical Machine Gun Joe (Japan);Comical Machine Gun Joe (Japan);Sega Master System;;1986;Sega;Shooter;;;;;0;;;;;
Cool Spot (Europe);Cool Spot (Europe);Sega Master System;;1993;Virgin Interactive;Platform;;;;;0;;;;;
Cosmic Spacehead (Europe);Cosmic Spacehead (Europe);Sega Master System;;1991;Codemasters;Adventure;;;;;0;;;;;
Cyber Shinobi, The (Europe);Cyber Shinobi, The (Europe);Sega Master System;;1990;Sega;Platform;;;;;0;;;;;
Cyborg Hunter (USA, Europe);Cyborg Hunter (USA, Europe);Sega Master System;;1988;Activision;Beat-'Em-Up;;;;;0;;;;;
Daffy Duck in Hollywood (Europe);Daffy Duck in Hollywood (Europe);Sega Master System;;1993;Sega;Platform;;;;;0;;;;;
Danan - The Jungle Fighter (Europe);Danan - The Jungle Fighter (Europe);Sega Master System;;1991;Sega;Platform;;;;;0;;;;;
Dead Angle (USA, Europe);Dead Angle (USA, Europe);Sega Master System;;1989;Sega;Action;;;;;0;;;;;
Deep Duck Trouble Starring Donald Duck (Europe);Deep Duck Trouble Starring Donald Duck (Europe);Sega Master System;;1993;Sega;Platform;;;;;0;;;;;
Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe);Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe);Sega Master System;;1993;Sega;Platform;;;;;0;;;;;
Desert Strike (Europe);Desert Strike (Europe);Sega Master System;;1992;Domark;Action;;;;;0;;;;;
Dick Tracy (USA, Europe);Dick Tracy (USA, Europe);Sega Master System;;1990;Sega;Action;;;;;0;;;;;
Dinobasher - Starring Bignose the Caveman (Europe) (Proto);Dinobasher - Starring Bignose the Caveman (Europe) (Proto);Sega Master System;;1993;Optimus Software;Platform;;;;;0;;;;;
Double Dragon (World);Double Dragon (World);Sega Master System;;1988;Sega;Beat-'Em-Up;;;;;0;;;;;
Double Hawk (Europe);Double Hawk (Europe);Sega Master System;;1990;Sega;Shooter;;;;;0;;;;;
Dr. Robotnik's Mean Bean Machine (Europe);Dr. Robotnik's Mean Bean Machine (Europe);Sega Master System;;1994;Sega;Puzzle;;;;;0;;;;;
Dragon - The Bruce Lee Story (Europe);Dragon - The Bruce Lee Story (Europe);Sega Master System;;1995;Virgin Interactive;Platform;;;;;0;;;;;
Dragon Crystal (Europe);Dragon Crystal (Europe);Sega Master System;;1991;Sega;Role-Playing;;;;;0;;;;;
Dynamite Duke (Europe);Dynamite Duke (Europe);Sega Master System;;1989;Sega;Action;;;;;0;;;;;
Dynamite Dux (Europe);Dynamite Dux (Europe);Sega Master System;;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
Dynamite Headdy (Brazil);Dynamite Headdy (Brazil);Sega Master System;;1994;Minato Giken;Platform;;;;;0;;;;;
E-SWAT - City Under Siege (USA, Europe);E-SWAT - City Under Siege (USA, Europe);Sega Master System;;1990;Sega;Action;;;;;0;;;;;
Earthworm Jim (Brazil);Earthworm Jim (Brazil);Sega Master System;;1996;Eurocom Entertainment Software;Platform;;;;;0;;;;;
Ecco - The Tides of Time (Brazil);Ecco - The Tides of Time (Brazil);Sega Master System;;1995;Novotrade International;Action;;;;;0;;;;;
Ecco the Dolphin (Europe);Ecco the Dolphin (Europe);Sega Master System;;1993;Sega;Adventure;;;;;0;;;;;
Enduro Racer (USA, Europe);Enduro Racer (USA, Europe);Sega Master System;;1987;Sega;Motorcycle;;;;;0;;;;;
F-16 Fighting Falcon (USA);F-16 Fighting Falcon (USA);Sega Master System;;1986;Sega;Flying;;;;;0;;;;;
F1 (Europe);F1 (Europe);Sega Master System;;1993;Domark;Driving;;;;;0;;;;;
FIFA International Soccer (Brazil);FIFA International Soccer (Brazil);Sega Master System;;1996;Tiertex Design Studios;Sports/Soccer;;;;;0;;;;;
Fantastic Dizzy (Europe);Fantastic Dizzy (Europe);Sega Master System;;1993;Codemasters;Adventure;;;;;0;;;;;
Fantasy Zone (World);Fantasy Zone (World);Sega Master System;;1986;Sega;Shooter;;;;;0;;;;;
Fantasy Zone - The Maze (USA, Europe);Fantasy Zone - The Maze (USA, Europe);Sega Master System;;1988;Sega;Action;;;;;0;;;;;
Fantasy Zone II - The Tears of Opa-Opa (USA, Europe);Fantasy Zone II - The Tears of Opa-Opa (USA, Europe);Sega Master System;;1987;Sega;Shooter;;;;;0;;;;;
Ferias Frustradas do Pica Pau (Brazil);Ferias Frustradas do Pica Pau (Brazil);Sega Master System;;1996;Tec Toy;Platform;;;;;0;;;;;
Fire & Forget II (Europe);Fire & Forget II (Europe);Sega Master System;;1990;Titus Software;Driving;;;;;0;;;;;
Fire & Ice (Brazil);Fire & Ice (Brazil);Sega Master System;;1993;Tec Toy;Platform;;;;;0;;;;;
