#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Clu Clu Land - Welcome to New Clu Clu Land (Japan);Clu Clu Land - Welcome to New Clu Clu Land (Japan);Nintendo Famicom Disk System;;1992;Nintendo;Action;;;;;0;;;;;
Cocona World (Japan);Cocona World (Japan);Nintendo Famicom Disk System;;1987;Sofel;Adventure;;;;;0;;;;;
Comic Sakka Series Touma Senki #1 - Mashoujo Gakuen Evil (Japan) (Unl);Comic Sakka Series Touma Senki #1 - Mashoujo Gakuen Evil (Japan) (Unl);Nintendo Famicom Disk System;;1989;Indies Soft;Shooter;;;;;0;;;;;
Comic Sakka Series Touma Senki #2 - Mermaid no Gyakushuu (Japan) (Unl);Comic Sakka Series Touma Senki #2 - Mermaid no Gyakushuu (Japan) (Unl);Nintendo Famicom Disk System;;1989;Indies Soft;Shooter;;;;;0;;;;;
Comic Sakka Series Touma Senki #3 - Ryuujin Sensei Kikiippatsu (Japan) (Unl);Comic Sakka Series Touma Senki #3 - Ryuujin Sensei Kikiippatsu (Japan) (Unl);Nintendo Famicom Disk System;;1989;Indies Soft;Shooter;;;;;0;;;;;
Comic Sakka Series Touma Senki #4 - Tenkuu Ryuumaou Fukkatsu (Japan) (Unl);Comic Sakka Series Touma Senki #4 - Tenkuu Ryuumaou Fukkatsu (Japan) (Unl);Nintendo Famicom Disk System;;1990;Indies Soft;Board Games;;;;;0;;;;;
Comic Sakka Series Touma Senki #5 - Youjuu Rudo no Chousen (Japan) (Unl);Comic Sakka Series Touma Senki #5 - Youjuu Rudo no Chousen (Japan) (Unl);Nintendo Famicom Disk System;;1990;Indies Soft;Board Games;;;;;0;;;;;
Dandy - Zeuon No Fukkatsu (Japan);Dandy - Zeuon No Fukkatsu (Japan);Nintendo Famicom Disk System;;1988;Pony Canyon;Role-Playing;;;;;0;;;;;
Date de Blackjack (Japan) (Unl);Date de Blackjack (Japan) (Unl);Nintendo Famicom Disk System;;1985;Hacker International;Casino;;;;;0;;;;;
Deep Dungeon - Madou Senki (Japan) (Translated En);Deep Dungeon - Madou Senki (Japan) (Translated En);Nintendo Famicom Disk System;;1986;HummingBirdSoft;Role-Playing;;;;;0;;;;;
Deep Dungeon II - Yushi no Monshou (Japan) (Translated En);Deep Dungeon II - Yushi no Monshou (Japan) (Translated En);Nintendo Famicom Disk System;;1987;HummingBirdSoft;Role-Playing;;;;;0;;;;;
Dig Dug (Japan);Dig Dug (Japan);Nintendo Famicom Disk System;;1990;Namco Ltd.;Puzzle;;;;;0;;;;;
Dig Dug II (Japan);Dig Dug II (Japan);Nintendo Famicom Disk System;;1990;Namco Ltd.;Puzzle;;;;;0;;;;;
Dirty Pair - Project Eden (Japan) (Translated En);Dirty Pair - Project Eden (Japan) (Translated En);Nintendo Famicom Disk System;;1987;Bandai;Action;;;;;0;;;;;
Donkey Kong (Japan);Donkey Kong (Japan);Nintendo Famicom Disk System;;1988;Nintendo;Platform;;;;;0;;;;;
Donkey Kong Jr. (Japan);Donkey Kong Jr. (Japan);Nintendo Famicom Disk System;;1988;Nintendo;Platform;;;;;0;;;;;
Doremikko (Japan);Doremikko (Japan);Nintendo Famicom Disk System;;1987;Konami;Rhythm;;;;;0;;;;;
Dr. Chaos - Jigoku no Tobira (Japan);Dr. Chaos - Jigoku no Tobira (Japan);Nintendo Famicom Disk System;;1987;Pony Canyon;Adventure;;;;;0;;;;;
Druid - Kyoufu no Tobira (Japan);Druid - Kyoufu no Tobira (Japan);Nintendo Famicom Disk System;;1988;Jaleco;Role-Playing;;;;;0;;;;;
Eggerland (Japan) (Translated En);Eggerland (Japan) (Translated En);Nintendo Famicom Disk System;;1987;HAL Laboratory;Puzzle;;;;;0;;;;;
Eggerland - Souzou heno Tabidachi (Japan);Eggerland - Souzou heno Tabidachi (Japan);Nintendo Famicom Disk System;;1988;HAL Laboratory;Action;;;;;0;;;;;
Electrician (Japan) (Translated En);Electrician (Japan) (Translated En);Nintendo Famicom Disk System;;1986;Kemco;Action;;;;;0;;;;;
Emi-chan no Moero Yakyuuken! (Japan) (Unl) (Translated En);Emi-chan no Moero Yakyuuken! (Japan) (Unl) (Translated En);Nintendo Famicom Disk System;;1989;Super PIG;Miscellaneous;;;;;0;;;;;
Esper Dream (Japan) (Translated En);Esper Dream (Japan) (Translated En);Nintendo Famicom Disk System;;1987;Konami;Role-Playing;;;;;0;;;;;
Exciting Baseball (Japan);Exciting Baseball (Japan);Nintendo Famicom Disk System;;1987;Konami;Sports/Baseball;;;;;0;;;;;
Exciting Basket (Japan);Exciting Basket (Japan);Nintendo Famicom Disk System;;1987;Konami;Sports/Basketball;;;;;0;;;;;
Exciting Billiard (Japan);Exciting Billiard (Japan);Nintendo Famicom Disk System;;1987;Konami;Sports/Pool and Dart;;;;;0;;;;;
Exciting Soccer - Konami Cup (Japan);Exciting Soccer - Konami Cup (Japan);Nintendo Famicom Disk System;;1988;Konami;Sports/Soccer;;;;;0;;;;;
Fairy Pinball - Yousei Tachi no Pinball (Japan) (Unl);Fairy Pinball - Yousei Tachi no Pinball (Japan) (Unl);Nintendo Famicom Disk System;;1990;Hacker International;Pinball;;;;;0;;;;;
