#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
ps2ah;Phantasy Star II - Yushis's Adventure (Jpn, SegaNet);Final Burn Alpha;;1991;Sega;;;;;;0;;;;;
pstar3br;Phantasy Star III - Generations of Doom (Bra);Final Burn Alpha;pstar3;1998;Tec Toy;;;;;;0;;;;;
pstar3;Phantasy Star III - Generations of Doom (Euro, USA, Kor);Final Burn Alpha;;1990;Sega;;;;;;0;;;;;
pstar3j;Phantasy Star III - Toki no Keishousha (Jpn);Final Burn Alpha;pstar3;1990;Sega;;;;;;0;;;;;
phantom;Phantom 2040 (Euro);Final Burn Alpha;;1995;Viacom New Media;;;;;;0;;;;;
phantomu;Phantom 2040 (USA);Final Burn Alpha;phantom;1995;Viacom New Media;;;;;;0;;;;;
phelios;Phelios (Euro);Final Burn Alpha;;1990;Namco;;;;;;0;;;;;
pheliosj;Phelios (Jpn);Final Burn Alpha;phelios;1990;Namcot;;;;;;0;;;;;
pheliosu;Phelios (USA);Final Burn Alpha;phelios;1990;Namco;;;;;;0;;;;;
phoenix;Phoenix (Amstar) [Parent set for working drivers];Final Burn Alpha;;1980;Amstar;;;;;;0;;;;;
phoenxp2;Phoenix Part 2 [Bootleg];Final Burn Alpha;phoenix;1981;bootleg;;;;;;0;;;;;
photoy2k104;Photo Y2K / Real and Fake (V104);Final Burn Alpha;photoy2k;1999;IGS;;;;;;0;;;;;
photoy2k;Photo Y2K / Real and Fake (V105);Final Burn Alpha;;1999;IGS;;;;;;0;;;;;
pink;Pink Goes to Hollywood (Euro, USA);Final Burn Alpha;;1993;TecMagik;;;;;;0;;;;;
pinkp;Pink Goes to Hollywood (USA, Prototype);Final Burn Alpha;pink;1993;TecMagik;;;;;;0;;;;;
pinoc;Pinocchio (Euro);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;
pinocu;Pinocchio (USA);Final Burn Alpha;pinoc;1996;THQ;;;;;;0;;;;;
whoopee;Pipi & Bibis / Whoopee!! (Teki Paki hardware) [No sound (sound MCU not dumped)];Final Burn Alpha;pipibibs;1991;Toaplan;;;;;;0;;;;;
pipibibs;Pipi & Bibis / Whoopee!! (Z80 sound cpu, set 1);Final Burn Alpha;;1991;Toaplan;;;;;;0;;;;;
pipibibsa;Pipi & Bibis / Whoopee!! (Z80 sound cpu, set 2);Final Burn Alpha;pipibibs;1991;Toaplan;;;;;;0;;;;;
pipibibsp;Pipi & Bibis / Whoopee!! (prototype) [Prototype];Final Burn Alpha;pipibibs;1991;Toaplan;;;;;;0;;;;;
piranha;Piranha;Final Burn Alpha;puckman;1981;GL (US Billiards License);;;;;;0;;;;;
piranhah;Piranha (hack);Final Burn Alpha;puckman;1981;hack;;;;;;0;;;;;
piranhao;Piranha (older);Final Burn Alpha;puckman;1981;GL (US Billiards License);;;;;;0;;;;;
higemaru;Pirate Ship Higemaru;Final Burn Alpha;;1984;Capcom;;;;;;0;;;;;
pirates;Pirates;Final Burn Alpha;;1994;NIX;;;;;;0;;;;;
pcarib;Pirates of the Caribbean (Rus);Final Burn Alpha;unchartd;199?;unknown;;;;;;0;;;;;
piratesp;Pirates! Gold (USA, Prototype);Final Burn Alpha;pirates;1993;Microprose;;;;;;0;;;;;
pcarib2;Piraty Karibskogo Morya - Na Strannyh Beregah ~ Pirates of the Caribbean - On Stranger Tides (Rus);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
pisces;Pisces;Final Burn Alpha;;19??;Subelectro;;;;;;0;;;;;
piscesb;Pisces (bootleg) [Bootleg];Final Burn Alpha;pisces;19??;bootleg;;;;;;0;;;;;
pitfight1;Pit-Fighter (World);Final Burn Alpha;pitfight;1991;Tengen;;;;;;0;;;;;
pitfight;Pit-Fighter (World, Rev. A);Final Burn Alpha;;1991;Tengen;;;;;;0;;;;;
pitfall;Pitfall - The Mayan Adventure (Euro);Final Burn Alpha;;1994;Activision;;;;;;0;;;;;
pitfallu;Pitfall - The Mayan Adventure (USA);Final Burn Alpha;pitfall;1994;Activision;;;;;;0;;;;;
pitfall2;Pitfall II (315-5093);Final Burn Alpha;;1985;Sega;;;;;;0;;;;;
pitfall2a;Pitfall II (315-5093, Flicky Conversion);Final Burn Alpha;pitfall2;1985;Sega;;;;;;0;;;;;
pitfall2u;Pitfall II (not encrypted);Final Burn Alpha;pitfall2;1985;Sega;;;;;;0;;;;;
pgoal;Pleasure Goal / Futsal - 5 on 5 Mini Soccer (NGM-219);Final Burn Alpha;;1996;Saurus;;;;;;0;;;;;
plumppop;Plump Pop (Japan);Final Burn Alpha;;1987;Taito Corporation;;;;;;0;;;;;
pnickj;Pnickies (940608 Japan);Final Burn Alpha;;1994;Compile (Capcom license);;;;;;0;;;;;
pocahont;Pocahontas (Euro);Final Burn Alpha;;1996;Sega;;;;;;0;;;;;
pocahontu;Pocahontas (USA);Final Burn Alpha;pocahont;1996;Disney Interactive;;;;;;0;;;;;
pnyaa;Pochi and Nyaa;Final Burn Alpha;;2003;Aiky / Taito;;;;;;0;;;;;
pfghtj;Pocket Fighter (970904 Japan);Final Burn Alpha;sgemf;1997;Capcom;;;;;;0;;;;;
pktgaldx;Pocket Gal Deluxe (Euro v3.00);Final Burn Alpha;;1992;Data East Corporation;;;;;;0;;;;;
pktgaldxj;Pocket Gal Deluxe (Japan v3.00);Final Burn Alpha;pktgaldx;1993;Nihon System;;;;;;0;;;;;
pgalvip;Pocket Gals V.I.P (set 1);Final Burn Alpha;;1996;ACE International / Afega;;;;;;0;;;;;
pgalvipa;Pocket Gals V.I.P (set 2);Final Burn Alpha;pgalvip;1996;unknown;;;;;;0;;;;;
pokemon;Pocket Monsters;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
pokemona;Pocket Monsters (Alt);Final Burn Alpha;pokemon;199?;unlicensed;;;;;;0;;;;;
pokemon2;Pocket Monsters 2;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
pokecd;Pokemon Crazy Drummer;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
pokecda;Pokemon Crazy Drummer (Alt);Final Burn Alpha;pokecd;199?;unlicensed;;;;;;0;;;;;
pokestad;Pokemon Stadium;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
pkladies;Poker Ladies;Final Burn Alpha;;1989;Mitchell;;;;;;0;;;;;
