#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Rock n' Bolt (Japan);Rock n' Bolt (Japan);Sega SG-1000;;1985;Sega;Action;;;;;0;;;;;
Safari Hunting (Japan);Safari Hunting (Japan);Sega SG-1000;;1983;Compile;Action;;;;;0;;;;;
Safari Race (Japan);Safari Race (Japan);Sega SG-1000;;1984;Sega;Driving;;;;;0;;;;;
San-nin Mahjong (Japan);San-nin Mahjong (Japan);Sega SG-1000;;1984;Tsukuda Original;Puzzle;;;;;0;;;;;
Sega Flipper (Japan, Europe);Sega Flipper (Japan, Europe);Sega SG-1000;;1983;Sega;Action;;;;;0;;;;;
Sega-Galaga (Japan);Sega-Galaga (Japan);Sega SG-1000;;1983;Sega;Shooter;;;;;0;;;;;
Serizawa Hachidan no Tsumeshogi (Japan);Serizawa Hachidan no Tsumeshogi (Japan);Sega SG-1000;;1983;Coreland;Puzzle;;;;;0;;;;;
Shinnyushain Tooru Kun (Japan);Shinnyushain Tooru Kun (Japan);Sega SG-1000;;1985;Konami;Action;;;;;0;;;;;
Sindbad Mystery (Japan, Europe);Sindbad Mystery (Japan, Europe);Sega SG-1000;;1983;Sega;Shooter;;;;;0;;;;;
Soukoban (Japan);Soukoban (Japan);Sega SG-1000;;1985;Sega;Puzzle;;;;;0;;;;;
Space Armor (Japan);Space Armor (Japan);Sega SG-1000;;1984;Tsukuda Original;Shooter;;;;;0;;;;;
Space Invaders (Japan);Space Invaders (Japan);Sega SG-1000;;1985;Sega;Shooter;;;;;0;;;;;
Space Mountain (Japan);Space Mountain (Japan);Sega SG-1000;;1983;Tsukuda Original;Shooter;;;;;0;;;;;
Space Slalom (Japan);Space Slalom (Japan);Sega SG-1000;;1983;Sega;Action;;;;;0;;;;;
Star Force (Japan);Star Force (Japan);Sega SG-1000;;1985;Sega;Shooter;;;;;0;;;;;
Star Jacker (Japan, Europe);Star Jacker (Japan, Europe);Sega SG-1000;;1983;Sega;Shooter;;;;;0;;;;;
Super Tank (Japan);Super Tank (Japan);Sega SG-1000;;1986;Sega;Shooter;;;;;0;;;;;
Terebi Oekaki (Japan);Terebi Oekaki (Japan);Sega SG-1000;;1986;Sega;Miscellaneous;;;;;0;;;;;
Wonder Boy (Japan);Wonder Boy (Japan);Sega SG-1000;;1986;Escape;Action;;;;;0;;;;;
Yamato (Japan, Europe);Yamato (Japan, Europe);Sega SG-1000;;1983;Sega;Shooter;;;;;0;;;;;
Zaxxon (Japan);Zaxxon (Japan);Sega SG-1000;;1985;Ikegami Tsushinki;Shooter;;;;;0;;;;;
Zippy Race (Japan);Zippy Race (Japan);Sega SG-1000;;1983;Sega;Driving;;;;;0;;;;;
Zoom 909 (Japan);Zoom 909 (Japan);Sega SG-1000;;1985;Sega;Shooter;;;;;0;;;;;
