#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ecco the Dolphin (Japan);Ecco the Dolphin (Japan);Sega Mega Drive Japan;;1993;Sega;Action / Adventure;1;;;;;;;;;
Ecco the Dolphin II (Japan);Ecco the Dolphin II (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Eliminate Down (Japan);Eliminate Down (Japan);Sega Mega Drive Japan;;1993;Soft Vision International;Action / Shooter;;;;;;;;;;
Europa Sensen (Japan);Europa Sensen (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Ex-Ranza (Japan);Ex-Ranza (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
F1 Circus MD (Japan);F1 Circus MD (Japan);Sega Mega Drive Japan;;1991;Nihon Bussan;Racing;;;;;;;;;;
F1 Hero MD (Japan);F1 Hero MD (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Fastest 1 (Japan);Fastest 1 (Japan);Sega Mega Drive Japan;;1991;Human;Racing;;;;;;;;;;
Fatman (Japan);Fatman (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Final Blow (Japan);Final Blow (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Fire Mustang (Japan);Fire Mustang (Japan);Sega Mega Drive Japan;;1991;Taito;Shooter;1;;;;;;;;;
Fire Pro Wrestling Gaiden (J) [c][!];Fire Pro Wrestling Gaiden (J) [c][!];Sega Mega Drive Japan;;;;;;;;;;;;;;
Flintstone (Japan);Flintstone (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Fushigi no Umi no Nadia (Japan);Fushigi no Umi no Nadia (Japan);Sega Mega Drive Japan;;1991;Namco;Adventure;1;;;;;;;;;
Gambler Jiko Chuushinha - Katayama Masayuki no Mahjong Doujou (Japan);Gambler Jiko Chuushinha - Katayama Masayuki no Mahjong Doujou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Game no Kanzume Otokuyou (Japan);Game no Kanzume Otokuyou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gauntlet (Japan);Gauntlet (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gauntlet (Japan) (En,Ja);Gauntlet (Japan) (En,Ja);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gauntlet IV (Japan) (En,Ja);Gauntlet IV (Japan) (En,Ja);Sega Mega Drive Japan;;;;;;;;;;;;;;
Gley Lancer (J);Gley Lancer (J);Sega Mega Drive Japan;;;;;;;;;;;;;;
Golden Axe III (Japan);Golden Axe III (Japan);Sega Mega Drive Japan;;1993;Sega;Action / Adventure;2;;;;;;;;;
Gunstar Heroes (Japan);Gunstar Heroes (Japan);Sega Mega Drive Japan;;1993;SEGA;Shooter;2;;;;;;;;;
Heavy Unit - Mega Drive Special (Japan);Heavy Unit - Mega Drive Special (Japan);Sega Mega Drive Japan;;1990;Toho;Shooter;;;;;;;;;;
High School Soccer - Kunio Kun (J) [!];High School Soccer - Kunio Kun (J) [!];Sega Mega Drive Japan;;;;;;;;;;;;;;
Hokuto no Ken (Japan);Hokuto no Ken (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Honoo no Toukyuuji Dodge Danpei (Japan);Honoo no Toukyuuji Dodge Danpei (Japan);Sega Mega Drive Japan;;1992;Sega;Sports;;;;;;;;;;
Hybrid Front, The (Japan);Hybrid Front, The (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Hyokkori Hyoutanjima (Japan);Hyokkori Hyoutanjima (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Hyper Marbles (SN) (Japan);Hyper Marbles (SN) (Japan);Sega Mega Drive Japan;;1991;Sega;Action;1;;;;;;;;;
I Love Mickey & Donald - Fushigi na Magic Box (Japan);I Love Mickey & Donald - Fushigi na Magic Box (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
I Love Mickey Mouse - Fushigi no Oshiro Dai Bouken (Japan);I Love Mickey Mouse - Fushigi no Oshiro Dai Bouken (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
