#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Dr. Chaos (USA);Dr. Chaos (USA);Nintendo Entertainment System;;1988;FCI, Inc.;Adventure;;;;;0;;;;;
Dr. Jekyll and Mr. Hyde (USA);Dr. Jekyll and Mr. Hyde (USA);Nintendo Entertainment System;;1989;Bandai;Action;;;;;0;;;;;
Dr. Mario (Japan, USA);Dr. Mario (Japan, USA);Nintendo Entertainment System;;1990;Nintendo;Puzzle;;;;;0;;;;;
Drac's Night Out (USA) (Proto);Drac's Night Out (USA) (Proto);Nintendo Entertainment System;;1991;Microsmiths Inc.;Action;;;;;0;;;;;
Dragon Fighter (USA);Dragon Fighter (USA);Nintendo Entertainment System;;1992;Sofel;Action;;;;;0;;;;;
Dragon Power (USA);Dragon Power (USA);Nintendo Entertainment System;;1988;Bandai;Action;;;;;0;;;;;
Dragon Spirit - The New Legend (USA);Dragon Spirit - The New Legend (USA);Nintendo Entertainment System;;1990;Bandai;Shoot-'Em-Up;;;;;0;;;;;
Dragon Warrior (USA);Dragon Warrior (USA);Nintendo Entertainment System;;1989;Nintendo;Role-Playing;;;;;0;;;;;
Dragon Warrior II (USA);Dragon Warrior II (USA);Nintendo Entertainment System;;1990;Enix America, Inc.;Role-Playing;;;;;0;;;;;
Dragon Warrior III (USA);Dragon Warrior III (USA);Nintendo Entertainment System;;1992;Enix America, Inc.;Role-Playing;;;;;0;;;;;
Dragon Warrior IV (USA);Dragon Warrior IV (USA);Nintendo Entertainment System;;1992;Enix America, Inc.;Role-Playing;;;;;0;;;;;
Dragon's Lair (USA);Dragon's Lair (USA);Nintendo Entertainment System;;1990;Epic Sony Record;Platform;;;;;0;;;;;
Driar (Europe) (Unl);Driar (Europe) (Unl);Nintendo Entertainment System;;2012;Stefan Adolfsson and David Eriksson;Platform;;;;;0;;;;;
Dropzone (Europe);Dropzone (Europe);Nintendo Entertainment System;;1992;Mindscape Inc.;Shoot-'Em-Up;;;;;0;;;;;
Duck Hunt (World);Duck Hunt (World);Nintendo Entertainment System;;1985;Nintendo;Gun;;;;;0;;;;;
Duck Maze (Australia) (Unl);Duck Maze (Australia) (Unl);Nintendo Entertainment System;;1987;Bit Corp.;Puzzle;;;;;0;;;;;
DuckTales (USA);DuckTales (USA);Nintendo Entertainment System;;1989;Capcom;Platform;;;;;0;;;;;
DuckTales 2 (USA);DuckTales 2 (USA);Nintendo Entertainment System;;1993;Capcom;Pinball;;;;;0;;;;;
Dudes With Attitude (USA) (Unl);Dudes With Attitude (USA) (Unl);Nintendo Entertainment System;;1990;American Video Entertainment;Action;;;;;0;;;;;
Dungeon Magic - Sword of the Elements (USA);Dungeon Magic - Sword of the Elements (USA);Nintendo Entertainment System;;1990;Taito Corporation;Role-Playing;;;;;0;;;;;
Dusty Diamond's All-Star Softball (USA);Dusty Diamond's All-Star Softball (USA);Nintendo Entertainment System;;1990;Tonkin House;Sports/Baseball;;;;;0;;;;;
Dynowarz - Destruction of Spondylus (USA);Dynowarz - Destruction of Spondylus (USA);Nintendo Entertainment System;;1990;Bandai America Inc.;Action;;;;;0;;;;;
Earth Bound (USA) (Proto);Earth Bound (USA) (Proto);Nintendo Entertainment System;;1989;Ape Studios;Role-Playing;;;;;0;;;;;
El Bloque Magico (Spain) (Unl);El Bloque Magico (Spain) (Unl);Nintendo Entertainment System;;1992;NTDEC;Puzzle;;;;;0;;;;;
El Destructor (Spain) (Unl);El Destructor (Spain) (Unl);Nintendo Entertainment System;;1992;NTDEC;Shoot-'Em-Up;;;;;0;;;;;
